partner,currency,stk_flow,sitc06,geo\time	2014 	2012 	2010 
EXT_EU,EUR,IMP,TOTAL,HR	38.3 	: 	: 
EXT_EU,EUR,IMP,TOTAL,HU	26.5 	22.7 	29.5 
EXT_EU,EUR,IMP,TOTAL,IE	20.7 	17.6 	19.2 
EXT_EU,EUR,IMP,TOTAL,IT	41.1 	47.6 	50.1 
EXT_EU,EUR,IMP,TOTAL,LT	27.8 	27 	24.9 
EXT_EU,EUR,IMP,TOTAL,LU	44.3 	36.7 	40.3 
EXT_EU,EUR,IMP,TOTAL,LV	62.2 	57.3 	49.8 
EXT_EU,EUR,IMP,TOTAL,MT	33.6 	31.3 	29.2 
EXT_EU,EUR,IMP,TOTAL,NL	34.7 	27.9 	32.8 
EXT_EU,EUR,IMP,TOTAL,PL	21.8 	18.4 	20 
EXT_EU,EUR,IMP,TOTAL,PT	26.3 	22.6 	30 
EXT_EU,EUR,IMP,TOTAL,RO	34.2 	37.2 	35.2 
EXT_EU,EUR,IMP,TOTAL,SE	20.3 	17.3 	10.4 
EXT_EU,EUR,IMP,TOTAL,SI	66.1 	60.7 	61.8 
EXT_EU,EUR,IMP,TOTAL,SK	55.8 	45.6 	46.2 
EXT_EU,EUR,IMP,TOTAL,UK	5.2 	4.1 	5.2 
EXT_EU,EU_OTH,EXP,SITC0-4A,AT	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC0-4A,BE	0.1 	0 	0 
EXT_EU,EU_OTH,EXP,SITC0-4A,BG	2.1 	0.4 	0.1 
EXT_EU,EU_OTH,EXP,SITC0-4A,CY	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC0-4A,CZ	3.2 	4.2 	6.5 
EXT_EU,EU_OTH,EXP,SITC0-4A,DE	0.3 	0.3 	0.2 
EXT_EU,EU_OTH,EXP,SITC0-4A,DK	11.9 	11.8 	10.6 
EXT_EU,EU_OTH,EXP,SITC0-4A,EA	0.3 	0.2 	1.3 
EXT_EU,EU_OTH,EXP,SITC0-4A,EE	0.8 	1.3 	12.4 
EXT_EU,EU_OTH,EXP,SITC0-4A,EL	0.2 	0.1 	0 
EXT_EU,EU_OTH,EXP,SITC0-4A,ES	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,EXP,SITC0-4A,EU	10.4 	10.8 	10.8 
EXT_EU,EU_OTH,EXP,SITC0-4A,FI	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC0-4A,FR	0.2 	0.3 	0.1 
EXT_EU,EU_OTH,EXP,SITC0-4A,HR	3.4 	: 	: 
EXT_EU,EU_OTH,EXP,SITC0-4A,HU	13.5 	29.5 	1.4 
EXT_EU,EU_OTH,EXP,SITC0-4A,IE	0.6 	1 	1.3 
EXT_EU,EU_OTH,EXP,SITC0-4A,IT	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC0-4A,LT	7 	6.9 	11.6 
EXT_EU,EU_OTH,EXP,SITC0-4A,LU	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC0-4A,LV	0 	2.5 	5 
EXT_EU,EU_OTH,EXP,SITC0-4A,MT	0 	0.1 	0 
EXT_EU,EU_OTH,EXP,SITC0-4A,NL	0.9 	0.6 	0.8 
EXT_EU,EU_OTH,EXP,SITC0-4A,PL	100 	100 	99.2 
EXT_EU,EU_OTH,EXP,SITC0-4A,PT	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC0-4A,RO	0.7 	0.7 	0.1 
EXT_EU,EU_OTH,EXP,SITC0-4A,SE	24 	31 	48.7 
EXT_EU,EU_OTH,EXP,SITC0-4A,SI	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC0-4A,SK	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC0-4A,UK	57.7 	62.4 	56.8 
EXT_EU,EU_OTH,EXP,SITC33,AT	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,BE	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,BG	0.2 	0.2 	0.1 
EXT_EU,EU_OTH,EXP,SITC33,CY	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,CZ	50.7 	66.3 	58 
EXT_EU,EU_OTH,EXP,SITC33,DE	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,DK	1.6 	1 	0.9 
EXT_EU,EU_OTH,EXP,SITC33,EA	0 	1.2 	0.4 
EXT_EU,EU_OTH,EXP,SITC33,EE	0 	0 	2.2 
EXT_EU,EU_OTH,EXP,SITC33,EL	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,ES	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,EU	8 	11.2 	10.7 
EXT_EU,EU_OTH,EXP,SITC33,FI	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,FR	0 	13.5 	0 
EXT_EU,EU_OTH,EXP,SITC33,HR	0.1 	: 	: 
EXT_EU,EU_OTH,EXP,SITC33,HU	7.1 	6.6 	11.3 
EXT_EU,EU_OTH,EXP,SITC33,IE	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,IT	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,LT	0.7 	2.4 	0.7 
EXT_EU,EU_OTH,EXP,SITC33,LU	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,LV	0 	0.1 	0 
EXT_EU,EU_OTH,EXP,SITC33,MT	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,NL	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,PL	100 	100 	99.7 
EXT_EU,EU_OTH,EXP,SITC33,PT	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,RO	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,SE	6.8 	21.4 	41 
EXT_EU,EU_OTH,EXP,SITC33,SI	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,SK	0 	0 	0 
EXT_EU,EU_OTH,EXP,SITC33,UK	78 	77 	71.2 
EXT_EU,EU_OTH,EXP,SITC5-8,AT	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,EXP,SITC5-8,BE	0.7 	1 	0.7 
EXT_EU,EU_OTH,EXP,SITC5-8,BG	1.1 	0.9 	1.1 
EXT_EU,EU_OTH,EXP,SITC5-8,CY	0.1 	1.3 	0.9 
EXT_EU,EU_OTH,EXP,SITC5-8,CZ	2.9 	3 	3.7 
EXT_EU,EU_OTH,EXP,SITC5-8,DE	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,EXP,SITC5-8,DK	17.4 	20.5 	22.1 
EXT_EU,EU_OTH,EXP,SITC5-8,EA	0.2 	0.3 	0.3 
EXT_EU,EU_OTH,EXP,SITC5-8,EE	5.2 	8.8 	5 
EXT_EU,EU_OTH,EXP,SITC5-8,EL	0.1 	0 	0.1 
EXT_EU,EU_OTH,EXP,SITC5-8,ES	0.2 	0.1 	0.1 
EXT_EU,EU_OTH,EXP,SITC5-8,EU	9.3 	10 	10.5 
EXT_EU,EU_OTH,EXP,SITC5-8,FI	0 	0 	0.2 
EXT_EU,EU_OTH,EXP,SITC5-8,FR	0.3 	0.3 	0.2 
EXT_EU,EU_OTH,EXP,SITC5-8,HR	17.5 	: 	: 
EXT_EU,EU_OTH,EXP,SITC5-8,HU	10 	6.4 	1.6 
EXT_EU,EU_OTH,EXP,SITC5-8,IE	0.4 	0.4 	0.3 
EXT_EU,EU_OTH,EXP,SITC5-8,IT	0.2 	0.3 	0.1 
EXT_EU,EU_OTH,EXP,SITC5-8,LT	11.4 	21 	27.1 
EXT_EU,EU_OTH,EXP,SITC5-8,LU	0.1 	0.1 	0 
EXT_EU,EU_OTH,EXP,SITC5-8,LV	0 	2.3 	2.6 
EXT_EU,EU_OTH,EXP,SITC5-8,MT	8.4 	0 	1 
EXT_EU,EU_OTH,EXP,SITC5-8,NL	0.5 	0.6 	0.6 
EXT_EU,EU_OTH,EXP,SITC5-8,PL	100 	100 	99.6 
EXT_EU,EU_OTH,EXP,SITC5-8,PT	0.4 	0.3 	0.2 
EXT_EU,EU_OTH,EXP,SITC5-8,RO	1.5 	0.9 	0.7 
EXT_EU,EU_OTH,EXP,SITC5-8,SE	22.2 	30.5 	47.9 
EXT_EU,EU_OTH,EXP,SITC5-8,SI	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,EXP,SITC5-8,SK	0.2 	0.1 	0.2 
EXT_EU,EU_OTH,EXP,SITC5-8,UK	55.1 	56.8 	60.5 
